Protein_ID	new_gene_id_if_mapped	Length_aa	StentorDB_annotation	Kinase_domain_evidence	EF_hand_CaM_like_evidence	InterPro_PANTHER_family	CaMKII_association_domain	Revised_annotation	Notes
SteCoe_9191	SteCoeF_042.g761	500	CAMK related kinase	Pfam Pkinase (PF00069): 52–308; CDD STKc_CAMK (cd05117): 47–307 [CAMK kinase group]; Ser/Thr active site (PS00108): 169–181	Pfam EF-hand-pair [PF13499: 356–417 & 428–488] = 2 pair-domain(s); SMART EFh (SM00054): 356–385 / 393–421 / 429–457 / 464–492 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 41–470; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_10638	SteCoeF_033.g684	489	CDPK family kinase	Pfam Pkinase (PF00069): 44–299; CDD STKc_CAMK (cd05117): 43–298 [CAMK kinase group]; Ser/Thr active site (PS00108): 162–174	Pfam EF-hand-pair [PF13499: 348–411 & 421–481] = 2 pair-domain(s); SMART EFh (SM00054): 349–377 / 386–414 / 422–450 / 456–484 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 37–445; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_12063	SteCoeF_114.g1058	493	CAMK related kinase	Pfam Pkinase (PF00069): 41–303; CDD STKc_CAMK (cd05117): 41–302 [CAMK kinase group]; Ser/Thr active site (PS00108): 164–176	Pfam EF-hand-pair [PF13499: 358–418 & 428–486] = 2 pair-domain(s); SMART EFh (SM00054): 358–386 / 393–421 / 429–457 / 461–489 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 35–467; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_14067	SteCoeF_090.g400	506	CDPK family kinase	Pfam Pkinase (PF00069): 46–304; CDD STKc_CAMK (cd05117): 45–303 [CAMK kinase group]; Ser/Thr active site (PS00108): 166–178	Pfam EF-hand-pair [PF13499: 352–412 & 426–486] = 2 pair-domain(s); SMART EFh (SM00054): 352–380 / 389–417 / 425–453 / 460–488 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 38–471; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_15444	SteCoeF_055.g139	501	CAMK related kinase	Pfam Pkinase (PF00069): 52–308; CDD STKc_CAMK (cd05117): 48–307 [CAMK kinase group]; Ser/Thr active site (PS00108): 169–181	Pfam EF-hand-pair [PF13499: 356–417 & 428–488] = 2 pair-domain(s); SMART EFh (SM00054): 356–384 / 393–421 / 429–457 / 464–492 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 42–470; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_17222	SteCoeF_037.g614	495	CDPK family kinase	Pfam Pkinase (PF00069): 34–289; CDD STKc_CAMK (cd05117): 32–289 [CAMK kinase group]; Ser/Thr active site (PS00108): 150–162	Pfam EF-hand-pair [PF13499: 431–490] = 1 pair-domain(s); SMART EFh (SM00054): 363–391 / 433–461 / 465–493 = 3 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 27–290; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	C-terminal EF-hand region incompletely resolved (<2 Pfam EF-hand-pair domains); ambiguous residue(s) X at position(s) 290 (internal); apparent local sequence duplication flanking an X, possible assembly/gene-model artifact
SteCoe_18109	SteCoeF_018.g1080	505	CDPK family kinase	Pfam Pkinase (PF00069): 61–310; CDD STKc_CAMK (cd05117): 54–309 [CAMK kinase group]; Ser/Thr active site (PS00108): 175–187	Pfam EF-hand-pair [PF13499: 362–420 & 431–491] = 2 pair-domain(s); SMART EFh (SM00054): 358–386 / 396–424 / 432–460 / 467–495 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 52–480; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_19366	SteCoeF_009.g939	468	CDPK family kinase	Pfam Pkinase (PF00069): 23–280; CDD STKc_CAMK (cd05117): 22–279 [CAMK kinase group]; Ser/Thr active site (PS00108): 142–154	Pfam EF-hand-pair [PF13499: 328–392 & 402–464] = 2 pair-domain(s); SMART EFh (SM00054): 329–357 / 368–396 / 404–432 / 439–467 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 15–452; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_26883	SteCoeF_010.g1117	499	CDPK family kinase	Pfam Pkinase (PF00069): 51–309; CDD STKc_CAMK (cd05117): 50–308 [CAMK kinase group]; Ser/Thr active site (PS00108): 171–183	Pfam EF-hand-pair [PF13499: 359–418 & 433–493] = 2 pair-domain(s); SMART EFh (SM00054): 359–387 / 396–424 / 432–460 / 467–495 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 42–482; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
SteCoe_28008	SteCoeF_040.g202	494	CDPK family kinase	Pfam Pkinase (PF00069): 54–304; CDD STKc_CAMK (cd05117): 46–303 [CAMK kinase group]; Ser/Thr active site (PS00108): 168–180	Pfam EF-hand-pair [PF13499: 354–416 & 426–485] = 2 pair-domain(s); SMART EFh (SM00054): 354–382 / 391–419 / 427–455 / 462–490 = 4 motif(s)	PANTHER PTHR24349 CDPK_Ser/Thr_kinases: 40–464; InterPro IPR050205 (Calcium-dependent Ser/Thr protein kinases)	Not detected	CDPK-like calcium-dependent protein kinase	
