#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
SteCoeF_094.g94.t1   -          CaMKII_AD            PF08332.17      0.88   10.5   1.0        60    4.6   0.1   2.9   2   0   0   2   2   2   0 -
SteCoeF_121.g820.t1  -          CaMKII_AD            PF08332.17      0.89   10.5   0.6     2e+02    2.9   0.0   3.2   3   1   1   4   4   4   0 -
SteCoeF_004.g175.t1  -          CaMKII_AD            PF08332.17      0.99   10.4   0.3       2.5    9.1   0.3   1.7   1   0   0   1   1   1   0 -
SteCoeF_004.g63.t1   -          CaMKII_AD            PF08332.17         1   10.3   0.1       2.8    8.9   0.1   1.8   1   1   0   1   1   1   0 -
SteCoeF_003.g1087.t1 -          CaMKII_AD            PF08332.17       1.6    9.7   0.9        42    5.1   0.1   3.3   3   0   0   3   3   3   0 -
SteCoeF_097.g716.t1  -          CaMKII_AD            PF08332.17       1.8    9.5   0.2       7.9    7.5   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_085.g604.t1  -          CaMKII_AD            PF08332.17       1.9    9.4   1.0   5.9e+02    1.4   0.0   4.5   6   1   0   6   6   6   0 -
SteCoeF_097.g725.t1  -          CaMKII_AD            PF08332.17         2    9.4   0.3   1.4e+02    3.5   0.0   3.5   3   2   0   3   3   3   0 -
SteCoeF_014.g1127.t1 -          CaMKII_AD            PF08332.17       2.4    9.1   0.0        30    5.6   0.0   2.9   2   0   0   2   2   2   0 -
SteCoeF_130.g938.t1  -          CaMKII_AD            PF08332.17       2.4    9.1   0.1       4.6    8.2   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_048.g960.t1  -          CaMKII_AD            PF08332.17       2.4    9.1   0.1       5.5    8.0   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_095.g292.t1  -          CaMKII_AD            PF08332.17       2.5    9.1   0.1       3.1    8.8   0.1   1.2   1   0   0   1   1   1   0 -
SteCoeF_084.g587.t1  -          CaMKII_AD            PF08332.17       2.6    9.0   0.2        29    5.6   0.2   2.4   2   0   0   2   2   2   0 -
SteCoeF_087.g946.t1  -          CaMKII_AD            PF08332.17       2.8    8.9   0.0       3.3    8.7   0.0   1.0   1   0   0   1   1   1   0 -
SteCoeF_004.g329.t1  -          CaMKII_AD            PF08332.17       2.9    8.8   0.0        14    6.7   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_047.g527.t1  -          CaMKII_AD            PF08332.17         3    8.8   0.1       6.4    7.8   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_124.g213.t1  -          CaMKII_AD            PF08332.17       3.5    8.6   0.2     1e+02    3.9   0.0   2.5   2   0   0   2   2   2   0 -
SteCoeF_099.g970.t1  -          CaMKII_AD            PF08332.17       3.7    8.5   0.0       5.9    7.9   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_097.g724.t1  -          CaMKII_AD            PF08332.17       4.3    8.3   0.0        87    4.1   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_116.g169.t1  -          CaMKII_AD            PF08332.17       4.5    8.2   0.1       6.4    7.8   0.1   1.3   1   0   0   1   1   1   0 -
